platform,title,user,views,category,focus,mood,sponsoredContent,rating,url,instaEmbed,tiktokEmbed
Youtube,Brutal Elimination Game with UK’s Best Golf Creators,Manors Golf,327k,Cinematic/Storytelling,Sports,Funny/Lighthearted,,,https://www.youtube.com/watch?v=K5OqZHzF0gE&list=WL&index=129,,
Youtube,25 strangers shoot their shot at love | part 3,nectar,506k,Trends/Viral,Music + Culture,Funny/Lighthearted,,,https://www.youtube.com/watch?v=xwYwEaZP6JA&list=WL&index=130&pp=gAQBiAQB,,
Youtube,World's LARGEST Climbing Gym! (ft. Alex Megos),Magnus Midtbø,869k,Lifestyle,Sports,Funny/Lighthearted,,,https://www.youtube.com/watch?v=qJy-_DRHFOk&list=WL&index=132,,
Youtube,What They Won't Tell You In The Bulls Documentary,JxmyHighroller,6.6M,Cinematic/Storytelling,Sports,Dramatic/Suspenseful,,,https://www.youtube.com/watch?v=jaGGJLAGWeA&list=WL&index=133,,
Youtube,Mason Ho Drives Australia Surf Mix 2,Ho & Pringle Productions,43k,Cinematic/Storytelling,Sports,Calm,,,https://www.youtube.com/watch?v=0PVepIKGZ7U&list=WL&index=139&t=77s,,
Youtube,"8 Surfers Fight For $100,000 | Surf100 Ep1",Stab: We like to surf,187k,Lifestyle,Sports,High Energy,,,https://www.youtube.com/watch?v=UANKtsKLW1M&list=WL&index=143&t=1065s,,
Youtube,I Inherited A Golf Club Run By Idiots,Shanked,210k,Comedy/Humor,Sports,Funny/Lighthearted,,,https://www.youtube.com/watch?v=Vkxhi9cwf-Q&list=WL&index=152,,
Youtube,NATURAL HIGH - 'Full Surf Movie',Jack Coleman,40k,Cinematic/Storytelling,Sports,High Energy,,,https://www.youtube.com/watch?v=6a_3IXKqVyg&list=WL&index=153&t=771s,,
Youtube,g00d cl0thes vide0,Owen Hyatt,40k,Lifestyle,Fashion,Calm,,,https://www.youtube.com/watch?v=BREMBCLcIpM&list=WL&index=159&t=1175s,,
Youtube,My First Time at EDC...,Sickos,387k,Cinematic/Storytelling,Travel + Adventure,High Energy,,,https://www.youtube.com/watch?v=S_V4m0CwLGQ&list=WL&index=169,,
